symbol,base_qty,side,quote_qty,account_name,price,realized_pnl,fee,trade_time,时间,净资产,份额,净值
ETHUSDT,0.001,CloseLong,4.21,binance-001,4208,-0.00728,0.00114,1755578127835,2025/8/19 12:35:28,1003.29064,1000,1.00329064
BTCUSDT,0.001,CloseLong,115,binance-001,115167,-0.807,0.0311,1755578700696,2025/8/19 12:45:01,1002.45254,1000,1.00245254
ETHUSDT,0.002,CloseLong,8.45,binance-001,4227,0.0228,0.00228,1755578733270,2025/8/19 12:45:33,1002.47306,1000,1.00247306
ETHUSDT,0.001,CloseLong,4.24,binance-001,4238,0.0231,0.00114,1755579927829,2025/8/19 13:05:28,1002.49502,1000,1.00249502
ETHUSDT,0.001,CloseLong,4.24,binance-001,4241,0.0255,0.00114,1755585986527,2025/8/19 14:46:27,1002.51938,1000,1.00251938
ETHUSDT,0.006,CloseLong,25.5,binance-001,4258,0.257,0.0069,1755593749293,2025/8/19 16:55:49,1002.76948,1000,1.00276948
ETHUSDT,0.004,CloseLong,17.1,binance-001,4264,0.194,0.0046,1755594949372,2025/8/19 17:15:49,1002.95888,1000,1.00295888
ETHUSDT,0.011,CloseLong,47.2,binance-001,4291,0.834,0.0127,1755596149434,2025/8/19 17:35:49,1003.78018,1000,1.00378018
ETHUSDT,0.003,CloseLong,12.9,binance-001,4303,0.264,0.00349,1755603313450,2025/8/19 19:35:13,1004.04069,1000,1.00404069
ETHUSDT,0.006,CloseLong,25.8,binance-001,4304,0.533,0.00697,1755610498096,2025/8/19 21:34:58,1004.56672,1000,1.00456672
ETHUSDT,0.007,OpenLong,29.4,binance-001,4201,0,0.00794,1755614463099,2025/8/19 22:41:03,1004.55878,1000,1.00455878
BTCUSDT,0.002,OpenLong,228,binance-001,113790,0,0.0614,1755614675936,2025/8/19 22:44:36,1004.49738,1000,1.00449738
ETHUSDT,0.009,OpenLong,37.7,binance-001,4192,0,0.0102,1755614763150,2025/8/19 22:46:03,1004.48718,1000,1.00448718
ETHUSDT,0.001,CloseLong,4.2,binance-001,4204,-0.00519,0.00113,1755615298174,2025/8/19 22:54:58,1004.48086,1000,1.00448086
BTCUSDT,0.001,CloseLong,114,binance-001,114074,-1.61,0.0308,1755617070946,2025/8/19 23:24:31,1002.84006,1000,1.00284006
ETHUSDT,0.005,OpenLong,21,binance-001,4196,0,0.00566,1755619023183,2025/8/19 23:57:03,1002.8344,1000,1.0028344
ETHUSDT,0.016,OpenLong,67,binance-001,4185,0,0.0181,1755620763153,2025/8/20 0:26:03,1002.8163,1000,1.0028163
ETHUSDT,0.001,OpenLong,4.16,binance-001,4163,0,0.00112,1755621423610,2025/8/20 0:37:04,1002.81518,1000,1.00281518
ETHUSDT,0.012,OpenLong,50,binance-001,4163,0,0.0135,1755621423610,2025/8/20 0:37:04,1002.80168,1000,1.00280168
ETHUSDT,0.012,OpenLong,50,binance-001,4163,0,0.0135,1755621423610,2025/8/20 0:37:04,1002.78818,1000,1.00278818
BTCUSDT,0.002,OpenLong,227,binance-001,113503,0,0.0613,1755621936048,2025/8/20 0:45:36,1002.72688,1000,1.00272688
ETHUSDT,0.01,OpenLong,41.6,binance-001,4155,0,0.0112,1755622083282,2025/8/20 0:48:03,1002.71568,1000,1.00271568
ETHUSDT,0.001,CloseLong,4.16,binance-001,4158,-0.0307,0.00112,1755623698168,2025/8/20 1:14:58,1002.68386,1000,1.00268386
BTCUSDT,0.001,CloseLong,113,binance-001,113353,-2.06,0.0306,1755624270929,2025/8/20 1:24:31,1000.59326,1000,1.00059326
ETHUSDT,0.002,CloseLong,8.33,binance-001,4164,-0.0488,0.00225,1755624303470,2025/8/20 1:25:03,1000.54221,1000,1.00054221
ETHUSDT,0.008,OpenLong,33.1,binance-001,4139,0,0.00894,1755629343181,2025/8/20 2:49:03,1000.53327,1000,1.00053327
BTCUSDT,0.002,OpenLong,226,binance-001,112816,0,0.0609,1755630395971,2025/8/20 3:06:36,1000.47237,1000,1.00047237
ETHUSDT,0.005,OpenLong,20.6,binance-001,4124,0,0.00557,1755630603229,2025/8/20 3:10:03,1000.4668,1000,1.0004668
BTCUSDT,0.001,CloseLong,113,binance-001,113194,-1.91,0.0306,1755631470935,2025/8/20 3:24:31,998.5262,1000,0.9985262
