,TradeID,Direction,CreateTime,OrderSysID,OrderID,MemberID,PositionID,TradeUnitID,AccountID,ExchangeID,InstrumentID,ProductGroup,SettlementGroup,ProductID,OffsetFlag,Price,Volume,TradeTime,DeriveSource,PriceSource,UserID,OrderLocalID,MatchRole,Currency,PriceCurrency,ClearCurrency,Fee,FeeCurrency,ReserveFee,CloseProfit,ReserveProfit,Turnover,UseMargin,ReserveMargin,Leverage,OrderPrice,TriggerPrice,IsSelfTrade,Remark,BusinessNo,OpenPrice,InsertTime,APPID,CopyMemberID,CopyOrderID,CopyProfit,Position,PrePosition
12,1000157875672368,0,2025-07-23 06:21:47,1000589811574706,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589644493371,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,DOGEUSDT,SwapU,SwapU,,1,0.2614,602473,1753251707,0,,,,1,USDT,USDT,USDT,39.37161055,USDT,0,3691.71147872,0,157486.4422,-2149.0420490497,,75,0.26149,,0,def,1001669124639095,0.267527596554079,1753251707,IOS,,,0,425293,-1027766
13,1000157875672369,0,2025-07-23 06:21:47,1000589811574706,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589644493371,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,DOGEUSDT,SwapU,SwapU,,1,0.26141,216653,1753251707,0,,,,1,USDT,USDT,USDT,14.15881519,USDT,0,1325.39564623,0,56635.26073,-772.8087516831,,75,0.26149,,0,def,1001669124639095,0.267527596554079,1753251707,IOS,,,0,208640,-425293
14,1000157875672370,0,2025-07-23 06:21:47,1000589811574706,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589644493371,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,DOGEUSDT,SwapU,SwapU,,1,0.26142,208640,1753251707,0,,,,1,USDT,USDT,USDT,13.6356672,USDT,0,1274.28894504,0,54542.6688,-744.2261032672,,75,0.26149,,0,def,1001669124639095,0.267527596554079,1753251707,IOS,,,0,0,-208640
15,1000157847282513,0,2025-07-22 16:26:31,1000589527560297,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589514026039,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,ETHUSDT,SwapU,SwapU,,1,3727.47,40,1753201591,0,,,,1,USDT,USDT,USDT,37.2747,USDT,0,-366.8,0,149098.8,-743.66,,200,3727.56,,0,def,1001668455809247,3718.3,1753201591,IOS,,,0,160,-200
16,1000156166151006,1,2025-06-16 13:59:19,1000573073704047,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573073704047,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,ETHUSDT,SwapU,SwapU,,0,2637.49,134.198,1750082359,0,,,,1,USDT,USDT,USDT,88.48647076,USDT,0,0,0,353945.88302,1769.7294151,,200,2637.4,,0,def,1001629876493324,2637.49,1750082359,IOS,,,0,134.198,0
17,1000157852358383,1,2025-07-22 18:55:11,1000589579948149,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589579948149,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,BTCUSDT,SwapU,SwapU,,0,120141.1,4.2409,1753210511,0,,,,1,USDT,USDT,USDT,127.37659775,USDT,0,0,0,509506.39099,2547.53195495,,200,120139.9,,0,def,1001668581843955,120141.1,1753210511,IOS,,,0,4.2409,0
18,1000157852358384,1,2025-07-22 18:55:11,1000589579948149,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589579948149,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,BTCUSDT,SwapU,SwapU,,0,120140.9,1.2778,1753210511,0,,,,1,USDT,USDT,USDT,38.37901051,USDT,0,0,0,153516.04202,767.5802101,,200,120139.9,,0,def,1001668581843955,120141.0536919927,1753210511,IOS,,,0,5.5187,-4.2409
19,1000157890763685,0,2025-07-23 13:44:13,1000589963648282,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000589507993683,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,8,188,1148.73,1753278253,0,,,,1,USDT,USDT,USDT,53.99031,USDT,0,17989.1118,0,215961.24,-2339.503518,,100,188.55,188,0,,1001669490008836,203.66,1753278253,IOS,,,0,0,-1148.73
20,1000156166585480,0,2025-06-16 14:34:14,1000573082608586,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573042223731,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,SOLUSDT,SwapU,SwapU,,2,158.01,1844.9,1750084454,4,,,,0,USDT,USDT,USDT,174.9075894,USDT,0,-3320.82,0,291512.649,-2881.91829,,100,158.01,157.38,0,,1001629897430488,156.21,1750084454,,,,0,0,
21,1000156166585481,0,2025-06-16 14:34:14,1000573082608627,,38275638-1f74-46f5-9d90-7cce3d7b1acd,1000573073704047,38275638-1f74-46f5-9,38275638-1f74-46f5-9d90-7cce3d7b1acd,Exchange,ETHUSDT,SwapU,SwapU,,2,2654.78,134.198,1750084454,4,,,,0,USDT,USDT,USDT,213.75969987,USDT,0,-2320.28342,0,356266.16644,-1769.7294151,,200,2654.78,2654.78,0,,1001629897430568,2637.49,1750084454,,,,0,0,
