start date,end date,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio
2024-11-03 10:26:50,2025-05-20 14:31:23,29.7571,0.7312,2.5832,11.5854
2024-09-01 05:42:23,2025-05-11 13:44:13,-0.8657,1.0,nan,-0.1562
