MemberID,start date,end date,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio,Number of Liquidations,profit_loss_ratio,winner_ratio
3b4e1bb7-ae6f-43c0-96a7-a95bbcfa3006,2025/7/18 16:56,2025/8/5 6:50,-1,0.9808,-0.2001,-0.1555,0,1.393,0.8333
0b5b0d55-5caf-4572-8428-8ab26ed89963,2025/3/8 3:49,2025/9/8 0:00,-0.9837,1,3.5199,-0.2651,0,1.3705,0.8984
e33b79a9-fb04-4aa0-a621-243427048378,2025/5/15 18:17,2025/9/8 3:54,62.37,0.1568,7.6433,196.0519,0,5.6241,0.9549
2579772c-7b02-4f19-9a3d-d16a89086ab7,2025/7/10 4:53,2025/8/18 14:10,4.8228,0.1909,1.4213,6.5407,0,6.9712,0.8544
e8ed00ff-1196-4186-b7ca-4955a596a030,2023/11/2 9:34,2025/9/8 3:00,0.767,0.3583,0.8138,0.9926,0,1.9878,0.5903
20ee72ed-2f4f-4a7f-a2da-1563652f260e,2025/6/11 8:06,2025/9/8 0:00,187.7523,0.2465,4.8647,188.1256,0,2.2301,0.9041
51c85974-553c-4a65-b504-a91b7f504b77,2025/6/27 9:52,2025/9/3 16:08,190973.9457,0.3528,3.3038,68875.5567,0,8.6668,0.8438
5d9dc683-5220-4c83-8272-7a914f8913f7,2024/6/24 9:36,2025/9/8 1:24,3.0477,1.0001,0.9395,0.0009,3,2.4991,0.8609
a00fa5ae-c2c6-4cf7-987d-f297d0beb55d,2024/10/26 17:31,2025/9/8 0:00,0.0607,1.0271,-1.5283,0,7,1.6358,0.9324
206fa667-6fac-4d6f-8550-8618c6e97f8c,2023/10/23 4:50,2025/9/8 0:00,80.6364,0.9214,2.5824,43.2936,0,1.6775,0.555
bbd14f0d-2927-4434-93e7-49fa44f4a1a0,2025/7/18 2:01,2025/8/2 14:53,707.4987,0.222,2.0339,784.2514,0,3.9059,0.75
7400ed60-596c-43a1-a56c-d6908189b096,2025/5/8 9:29,2025/8/4 15:01,1877.4763,0.9986,5.4032,1239.075,0,7.9656,0.9557
d847fd91-fa3c-4a63-83e2-57c4dd324208,2024/9/13 7:14,2025/9/4 10:36,-0.4601,1.0006,1.2862,-0.0006,1,1.3911,0.5167
04ea7356-fbed-474d-8b1b-23ade0a10d42,2024/10/25 14:53,2025/9/8 3:00,-0.8364,0.9951,2.3764,-0.2463,0,1.6545,0.7462
0899b613-fbe6-47d0-8b66-57218ccb939a,2024/11/29 22:03,2025/9/8 0:00,1.9534,1,,0.4957,0,1.7395,0.8246
ded41782-53c8-427d-a392-5743d87bbcb5,2025/4/10 10:35,2025/8/24 13:40,-1,-1,2.4669,-1,2,1.3767,0.934
